close,sentiment,Percent Change,Category
8243.79,0.18765668,0.013775599,1
8131.77,0.259951733,0.014611974,1
8014.66,0.233294803,0.003008527,1
7990.62,0.266359231,-0.002592559,-1
8011.39,0.314674125,0.004092125,1
7978.74,0.294730657,0.000634588,1
7973.68,0.295732592,0.01579941,1
7849.66,0.260356092,0.012494857,1
7752.79,0.225903554,0.002757561,1
7731.47,0.194812031,-0.000713456,-1
7736.99,0.203218841,0.002712524,1
7716.06,0.250327818,-0.00025136,-1
7718,0.237091725,-0.00039114,-1
7721.02,0.260526829,-0.003869173,-1
7751.01,0.260945739,0.006262682,1
7702.77,0.268367504,-0.005470527,-1
7745.14,0.260849615,0.000679597,1
7739.88,0.257322874,0.001337725,1
7729.54,0.20657855,-0.000738179,-1
7735.25,0.265202363,0.001116918,1
7726.62,0.28317339,0.004122211,1
7694.9,0.307897362,-0.00279532,-1
7716.47,0.289665873,0.001812396,1
7702.51,0.228814041,0.002632028,1
7682.29,0.30862578,-0.000781707,-1
7688.3,0.283653874,-0.003055035,-1
7711.86,0.293149368,0.000132281,1
7710.84,0.331600846,-0.004833325,-1
7748.29,0.282248141,0.009179701,1
7677.81,0.243246309,0.003753383,1
7649.1,0.29366795,-0.002975783,-1
7671.93,0.289828281,0.006207539,1
7624.6,0.298350951,-0.000836066,-1
7630.98,0.30538657,0.015415568,1
7515.13,0.280672664,0.00668567,1
7465.22,0.279145445,0.008998951,1
7398.64,0.227178609,-0.001507461,-1
7409.81,0.241292539,0.004766321,1
7374.66,0.246713119,-0.020029527,-1
7525.39,0.315070979,0.000860496,1
7518.92,0.311035536,0.000710713,1
7513.58,0.268667937,0.002231604,1
7496.85,0.261278143,-0.000657177,-1
7501.78,0.256295857,-0.003065842,-1
7524.85,0.334533268,0.005055429,1
7487,0.29137197,0.003896518,1
7457.94,0.315022546,0.003229786,1
7433.93,0.341841591,-0.001796622,-1
7447.31,0.31155546,-0.000574374,-1
7451.59,0.299771948,0.002425487,1
7433.56,0.310828402,-0.000540498,-1
7437.58,0.340088925,0.006081741,1
7392.62,0.307176758,2.43492E-05,1
7392.44,0.308424022,-0.001888899,-1
7406.43,0.303226156,0.001521261,1
7395.18,0.282354792,-0.00285047,-1
7416.32,0.292379478,-0.001794163,-1
7429.65,0.299403788,-0.006001731,-1
7474.51,0.256946037,0.00493695,1
7437.79,0.256906364,0.004373835,1
7405.4,0.251299276,-0.002247348,-1
7422.08,0.196480751,0.001835734,1
7408.48,0.274225596,-0.000933193,-1
7415.4,0.273400527,-0.000960589,-1
7422.53,0.24975477,-0.000780795,-1
7428.33,0.285630187,0.002646881,1
7408.72,0.267624791,0.000997117,1
7401.34,0.311345685,0.001077993,1
7393.37,0.261951213,0.005449254,1
7353.3,0.282330236,-5.16748E-05,-1
7353.68,0.297894575,0.002501592,1
7335.33,0.291767526,0.002321565,1
7318.34,0.27652888,0.0026799,1
7298.78,0.280362682,-0.003472047,-1
7324.21,0.297206949,0.001663008,1
7312.05,0.322328097,-0.002492388,-1
7330.32,0.290378094,-0.001605805,-1
7342.11,0.285154658,0.002074544,1
7326.91,0.263571094,0.003763302,1
7299.44,0.258796572,0.002696499,1
7279.81,0.237658689,-8.79067E-05,-1
7280.45,0.214173076,0.002861008,1
7259.68,0.241589981,0.002513298,1
7241.48,0.259032689,-0.012605793,-1
7333.93,0.233989173,-0.002883698,-1
7355.14,0.23410324,0.007534102,1
7300.14,0.236801529,-0.007338753,-1
7354.11,0.258576277,0.000797469,1
7348.25,0.265599187,-0.001482506,-1
7359.16,0.264147927,0.003824791,1
7331.12,0.283416891,-0.018590386,-1
7469.99,0.249691764,0.000168703,1
7468.73,0.264097058,-0.001251657,-1
7478.09,0.283394471,0.0004281,1
7474.89,0.2853619,0.001477788,1
7463.86,0.28396207,-0.004448321,-1
7497.21,0.269349461,0.004263681,1
7465.38,0.253357301,0.002903099,1
7443.77,0.283442714,-0.003812769,-1
7472.26,0.309977399,0.003329994,1
7447.46,0.304690719,0.008726769,1
7383.03,0.192649226,-0.005242565,-1
7421.94,0.277422335,-0.004451968,-1
7455.13,0.301155415,-0.001296751,-1
7464.81,0.227183497,0.000230468,1
7463.09,0.180334092,-4.68953E-05,-1
7463.44,0.287404689,0.006496055,1
7415.27,0.274944206,-0.0083223,-1
7477.5,0.29536893,-0.001515587,-1
7488.85,0.296328338,0.006406242,1
7441.18,0.27223483,0.00192274,1
7426.9,0.270226999,-0.004108593,-1
7457.54,0.285143196,0.004458249,1
7424.44,0.27926694,-0.000682414,-1
7429.51,0.285281433,0.007426703,1
7374.74,0.291176089,-0.003024154,-1
7397.11,0.28441103,-0.008447574,-1
7460.13,0.270628124,-0.003347944,-1
7485.19,0.283703022,0.007984217,1
7425.9,0.293438723,0.000652198,1
7421.06,0.2888255,0.00591262,1
7377.44,0.307935615,-0.005119077,-1
7415.4,0.315977355,0.011431354,1
7331.59,0.333795642,0.001899507,1
7317.69,0.300793091,-0.004070717,-1
7347.6,0.298586091,0.0011841,1
7338.91,0.276549703,0.00204535,1
7323.93,0.265728983,-0.001042069,-1
7331.57,0.219402323,-4.50088E-05,-1
7331.9,0.242558765,0.002770924,1
7311.64,0.249394166,-0.005492368,-1
7352.02,0.23477135,-0.004248726,-1
7383.39,0.261989118,0.002341796,1
7366.14,0.256214066,0.003559941,1
7340.01,0.285801395,-0.000477972,-1
7343.52,0.253642649,-0.007452701,-1
7398.66,0.247144093,-0.005489616,-1
7439.5,0.274428889,-0.009599806,-1
7511.61,0.271973268,0.009528661,1
7440.71,0.223509463,0.001534463,1
7429.31,0.219983174,-0.003098331,-1
7452.4,0.238579056,-0.00075891,-1
