Time,Views
2019-07-15,9850
2019-07-16,9965
2019-07-17,9947
2019-07-18,10132
2019-07-19,10284
2019-07-20,8240
2019-07-21,8196
2019-07-22,8745
2019-07-23,8321
2019-07-24,8223
2019-07-25,8155
2019-07-26,7623
2019-07-27,7953
2019-07-28,7119
2019-07-29,9050
