Time,Views
2019-07-15,552
2019-07-16,548
2019-07-17,522
2019-07-18,531
2019-07-19,496
2019-07-20,434
2019-07-21,369
2019-07-22,480
2019-07-23,467
2019-07-24,486
2019-07-25,503
2019-07-26,400
2019-07-27,415
2019-07-28,369
2019-07-29,388
2019-07-30,453
2019-07-31,831
