Time,Polarity,Subjectivity,Open,Close,High,Low,VolumeCoin,VolumeUSD,S&P500 Close,S&P500 Volume,USDEuro
2019-07-24 20:55,0.4166666666666667,0.5388888888888889,96.06,95.96,96.18,95.94,1085.07,104295.0,3019.3501,121630114,
2019-07-24 21:00,0.4166666666666667,0.5388888888888889,95.96,95.86,95.98,95.68,1021.47,97852.93,3019.3501,121630114,
2019-07-24 21:05,0.4166666666666667,0.5388888888888889,95.86,95.81,95.9,95.75,743.86,71148.92,3019.3501,121630114,
2019-07-24 21:10,0.4166666666666667,0.5388888888888889,95.81,96.1,96.16,95.81,1274.21,122311.55,3019.3501,121630114,
2019-07-24 21:15,0.4166666666666667,0.5388888888888889,96.1,96.14,96.45,96.09,3553.44,342310.53,3019.3501,121630114,
2019-07-24 21:20,0.4166666666666667,0.5388888888888889,96.14,95.93,96.14,95.85,1863.8,178651.55,3019.3501,121630114,
2019-07-24 21:25,0.4166666666666667,0.5388888888888889,95.93,95.74,95.98,95.71,1597.29,153252.06,3019.3501,121630114,
2019-07-24 21:30,0.4166666666666667,0.5388888888888889,95.74,95.76,95.78,95.55,1459.09,139487.57,3019.3501,121630114,
2019-07-24 21:35,0.4166666666666667,0.5388888888888889,95.76,95.58,95.81,95.53,730.47,69874.76,3019.3501,121630114,
2019-07-24 21:40,0.4166666666666667,0.5388888888888889,95.58,95.82,95.9,95.57,856.13,81969.28,3019.3501,121630114,
2019-07-24 21:45,0.4166666666666667,0.5388888888888889,95.82,95.67,95.82,95.64,415.78,39712.71,3019.3501,121630114,
2019-07-24 21:50,0.4166666666666667,0.5388888888888889,95.67,95.36,95.67,95.32,619.32,59123.65,3019.3501,121630114,
2019-07-24 21:55,0.4166666666666667,0.5388888888888889,95.36,95.4,95.4,95.31,642.06,61281.79,3019.3501,121630114,
2019-07-24 22:00,0.4166666666666667,0.5388888888888889,95.4,95.31,95.45,95.31,918.0,87531.73,3019.3501,121630114,
2019-07-24 22:05,0.4166666666666667,0.5388888888888889,95.31,95.29,95.34,95.15,1389.32,132201.89,3019.3501,121630114,
2019-07-24 22:10,0.4166666666666667,0.5388888888888889,95.29,95.19,95.39,95.19,828.3,78807.89,3019.3501,121630114,
2019-07-24 22:15,0.4166666666666667,0.5388888888888889,95.19,95.51,95.54,95.19,807.28,76988.9,3019.3501,121630114,
2019-07-24 22:20,0.4166666666666667,0.5388888888888889,95.51,95.56,95.56,95.48,181.78,17290.08,3019.3501,121630114,
2019-07-24 22:25,0.4166666666666667,0.5388888888888889,95.56,95.64,95.66,95.52,715.13,68371.98,3019.3501,121630114,
2019-07-24 22:30,0.4166666666666667,0.5388888888888889,95.64,95.96,96.02,95.64,1206.6,115669.69,3019.3501,121630114,
