Open,high,low,close,RSI,SMA,Corr,SAR,ADX,Return,Pred_Signal,str_ret,strategy_cu_return,market_cu_return
0.061000000685453415,0.061000000685453415,0.057999998331069946,0.061000000685453415,53.004220959545215,0.06184499971568584,-0.28954169323249784,0.06499999761581421,32.63283844112614,0.06782260705285456,0,0.0,0.0,0.0
0.062300000339746475,0.06239999830722809,0.06069999933242798,0.062300000339746475,53.9701288447971,0.062074999883770944,-0.257107556510529,0.0631999984383583,32.53922278406329,0.021087555836549463,0,-0.0,0.0,0.0
0.05900000035762787,0.062199998646974564,0.05900000035762787,0.05900000035762787,51.012899169494034,0.06208500005304814,-0.21787458939584944,0.06239999830722809,31.74596763883564,-0.05442398127959312,0,0.0,0.0,0.0
0.0608999989926815,0.061000000685453415,0.05900000035762787,0.0608999989926815,52.67190335569853,0.061185000091791154,-0.5686525379377968,0.06239999830722809,31.032038008130762,0.03169570820810896,0,0.0,0.0,0.0
0.07100000232458115,0.07349999994039536,0.059300001710653305,0.07100000232458115,60.56084985567064,0.06201499998569489,-0.09485449229704912,0.0560000017285347,32.86448371759099,0.15344675160657678,0,-0.0,0.0,0.0
0.07000000029802322,0.07090000063180923,0.06650999933481216,0.07000000029802322,59.47032113220201,0.0622299998998642,0.47992642487880144,0.05900000035762787,34.5136848561052,-0.014184663475060855,0,-0.0,0.0,0.0
0.06700000166893005,0.07541000097990036,0.05999999865889549,0.06700000166893005,56.10282178647936,0.0628200002014637,0.5629016900801592,0.059300001710653305,33.39492905215614,-0.04380260200646404,0,0.0,0.0,0.0
0.07000000029802322,0.07000000029802322,0.061409998685121536,0.07000000029802322,58.70119883770708,0.06382000036537647,0.6665111607758706,0.05999999865889549,32.38804882860198,0.04380260200646404,0,-0.0,0.0,0.0
0.06449999660253525,0.06800000369548798,0.06449999660253525,0.06449999660253525,52.384790541221584,0.06427000015974045,0.49059089967376024,0.05999999865889549,31.48185662740324,-0.08183007517898033,0,0.0,0.0,0.0
0.06700000166893005,0.06949999928474426,0.06449999660253525,0.06700000166893005,54.839056529445344,0.06527000032365322,0.370964631258754,0.061409998685121536,31.066594485720934,0.03802747317251614,0,-0.0,0.0,0.0
0.06528999656438828,0.06700000166893005,0.06499999761581421,0.06528999656438828,52.7718115713448,0.06569899991154671,0.23272684913025368,0.0642099991440773,30.692858558206858,-0.025853811722624093,0,0.0,0.0,0.0
0.06549999862909317,0.06790000200271606,0.06199999898672104,0.06549999862909317,53.01350157964939,0.06601899974048138,0.12569238765933302,0.07541000097990036,28.902498452618506,0.003211289133585355,0,0.0,0.0,0.0
0.07000000029802322,0.07689999788999557,0.0624300017952919,0.07000000029802322,58.11672564049233,0.06711899973452091,0.10772138395713145,0.06199999898672104,29.695558787250654,0.0664451245955029,0,-0.0,0.0,0.0
0.06800000369548798,0.07329999655485153,0.06700000166893005,0.06800000369548798,55.15832687016431,0.06782900020480156,-0.3109458919086801,0.06199999898672104,30.409313088419587,-0.028987486785316995,0,-0.0,0.0,0.0
0.06669999659061432,0.06790000200271606,0.06669999659061432,0.06669999659061432,53.20236461707435,0.06739899963140487,-0.14766690907454072,0.0624300017952919,30.89818548586025,-0.019302857715167532,0,-0.0,0.0,0.0
0.06549999862909317,0.06669999659061432,0.06499999761581421,0.06549999862909317,51.33530657947267,0.06694899946451187,0.05126179117035012,0.07689999788999557,30.44555687798288,-0.018154780095018377,0,0.0,0.0,0.0
0.06639999896287918,0.06689999997615814,0.06440000236034393,0.06639999896287918,52.71805097284181,0.06688899919390678,0.052388284983793096,0.07451999783515931,29.71948816851018,0.013646919151767816,0,-0.0,0.0,0.0
0.06599999964237213,0.06639999896287918,0.06120000034570694,0.06599999964237213,51.988576805720456,0.06648899912834168,0.5929736853939205,0.07249599874019623,27.46439391319783,-0.006042304255277164,0,-0.0,0.0,0.0
0.06491000205278397,0.06689000129699707,0.06300000101327896,0.06491000205278397,49.89803993339132,0.06652999967336655,0.4263966629353358,0.07023679906129837,25.635720020925525,-0.016653009937364432,0,0.0,0.0,0.0
0.06499999761581421,0.06650000065565109,0.06491000205278397,0.06499999761581421,50.0821843382187,0.06632999926805497,0.6422404197920482,0.06842943931818009,23.989913517880453,0.0013855065453979218,0,-0.0,0.0,0.0
0.06480000168085098,0.06650000065565109,0.0640999972820282,0.06480000168085098,49.63176082367673,0.06628099977970123,0.6738119585399246,0.06698355152368546,22.04686419375327,-0.0030816039185680337,0,-0.0,0.0,0.0
0.06400000303983688,0.0658000037074089,0.06400000303983688,0.06400000303983688,47.724100211379394,0.0661310002207756,0.7427340821930986,0.06650000065565109,20.237803075455773,-0.012422498440165032,0,0.0,0.0,0.0
0.06499999761581421,0.06499999761581421,0.06300000101327896,0.06499999761581421,50.373346331311566,0.0656309999525547,0.860883975332545,0.06650000065565109,18.44461633986177,0.015504102358732941,0,-0.0,0.0,0.0
0.0640999972820282,0.06499999761581421,0.0640999972820282,0.0640999972820282,47.943637203579804,0.06524099931120872,0.7973169253853397,0.0658000037074089,16.83074827782717,-0.013942911691287743,0,-0.0,0.0,0.0
0.06400000303983688,0.06480000168085098,0.06400000303983688,0.06400000303983688,47.65984794793553,0.06497099995613098,0.7590232570191793,0.06499999761581421,15.450380286221105,-0.0015611906674451908,0,0.0,0.0,0.0
0.064970001578331,0.0689999982714653,0.03210999816656113,0.064970001578331,50.79886496004583,0.06491800025105476,0.6334794787984416,0.03210999816656113,21.223328893211892,0.01504251832854479,0,-0.0,0.0,0.0
