Time,Views
2019-07-15,1839
2019-07-16,1895
2019-07-17,1744
2019-07-18,1699
2019-07-19,1453
2019-07-20,1656
2019-07-21,1366
2019-07-22,1710
2019-07-23,1712
2019-07-24,1695
2019-07-25,1619
2019-07-26,1838
2019-07-27,1455
2019-07-28,1385
2019-07-29,1966
2019-07-30,1592
2019-07-31,2064
