2019-06-03T17:53:00Z,A crypto founder paid $4.6 million to have lunch with Warren Buffett who called bitcoin 'rat poison squared',The cryptocurrency founder Justin Sun tweeted that he won the annual charity auction for a lunch with Warren Buffett. Sun founded the cryptocurrency " tron " and paid nearly $4.6 million for the luncheon. Watch tron trade live. The cryptocurrency founder Just…,Business Insider
2019-06-03T08:54:02Z,Crypto Dad Confirms Facebook ‘Conversations’ Over GlobalCoin Digital Currency,By CCN: Facebook’s plans to launch the GlobalCoin cryptocurrency are moving full-steam ahead. According to the Financial Times the social media giant has already initiated talks with the Commodity Futures Trading Commission (CFTC). The outgoing chairman of t…,Crypto Coins News
2019-06-03T15:35:21Z,3 Best Cryptos to Buy in 2019 Before They Explode with Massive Gains,By CCN: With numerous bullish breakouts on the longer timeframe the crypto bull market is growing stronger by the day. We’re not just talking about bitcoin. On the contrary the disbelief rally of the king of cryptocurrencies may be on its last legs. This gi…,Crypto Coins News
2019-06-02T17:00:02Z,Pharma Bro Martin Shkreli Won’t Let Prison Halt His Get-Rich-Quick Antics,By CCN: Remember the man who thought it was a good idea to raise the price of a life-saving HIV drug by more than 5000 percent? The one who also thought it was a good idea to start a rap beef with the Wu-Tang Clan? He’s also the guy who tried to buy The Life…,Crypto Coins News
2019-06-03T18:40:15Z,Tron CEO’s Childish Warren Buffett Stunt Batters BTT Cryptocurrency,By CCN: The BitTorrent cryptocurrency price tanked over 6% in Monday trading after Tron CEO Justin Sun’s latest announcement stunt flopped in hilarious fashion. Tron Founder Will Pitch Crypto to Bitcoin Hater Warren Buffett It turns out Sun was the mystery bi…,Crypto Coins News
2019-06-03T07:56:14Z,Morgan Stanley Fears Trade War Recession in 2020 as Stock Market Burns,By CCN: Morgan Stanley’s chief economist expects a global recession in three quarters if the trade war escalates CNBC reported Sunday. In May Donald Trump hiked tariffs on Chinese imports from 10% to 25%. The move sent equities into a tailspin wiping out $1…,Crypto Coins News
2019-06-03T21:48:30Z,Apple is taking a shot at Google and Facebook with a new iPhone feature — and quietly said it's coming to businesses too (AAPL MSFT OKTA),Apple wants to become the company you trust to keep your passwords and online identity safe. During the opening keynote of its Worldwide Developers Conference on Monday Apple announced a splashy new feature in the upcoming iOS 13 called " Sign in With Apple…,Business Insider
2019-06-03T18:14:17Z,Cryptocurrency pioneer (he’s 28) pays $4.57 million to have lunch with Warren Buffett who once called Bitcoin ‘probably rat poison squared’,Justin Sun hopes to educate the Oracle of Omaha on cryptocurrency and blockchain,Financial Post
2019-06-03T09:30:00Z,Banks to Use Bitcoin-Like Token to Settle Cross-Border Trades - The Wall Street Journal,Banks to Use Bitcoin-Like Token to Settle Cross-Border Trades The Wall Street Journal A group of financial firms led by UBS Group AG plans to start using a bitcoin-like token to settle cross-border trades one of the biggest developments yet in the effort to …,The Wall Street Journal
2019-06-03T13:50:10Z,World’s Biggest Banks Splash $63 million on a Blockchain Digital Currency,By CCN: Some of the world’s biggest banks are partnering with London-based Fnality International to create a blockchain digital currency for faster cross-border transfers. These banks from Japan Europe and the United States are hoping that issuing a utility…,Crypto Coins News
